requirement_id,level,chapter,section,requirement,applicable,status,evidence,review_notes
V1.1.1,2,V1 Encoding and Sanitization,V1.1 Encoding and Sanitization Architecture,"Verify that input is decoded or unescaped into a canonical form only once, it is only decoded when encoded data in that form is expected, and that this is done before processing the input further, for example it is not performed after input validation or sanitization.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.1.2,2,V1 Encoding and Sanitization,V1.1 Encoding and Sanitization Architecture,Verify that the application performs output encoding and escaping either as a final step before being used by the interpreter for which it is intended or by the interpreter itself.,Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.2.1,1,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that output encoding for an HTTP response, HTML document, or XML document is relevant for the context required, such as encoding the relevant characters for HTML elements, HTML attributes, HTML comments, CSS, or HTTP header fields, to avoid changing the message or document structure.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.2.2,1,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that when dynamically building URLs, untrusted data is encoded according to its context (e.g., URL encoding or base64url encoding for query or path parameters). Ensure that only safe URL protocols are permitted (e.g., disallow javascript: or data:).",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.2.3,1,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that output encoding or escaping is used when dynamically building JavaScript content (including JSON), to avoid changing the message or document structure (to avoid JavaScript and JSON injection).",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.2.4,1,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL Injection and other database injection attacks. This is also relevant when writing stored procedures.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.2.5,1,V1 Encoding and Sanitization,V1.2 Injection Prevention,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,No application code constructs or executes operating-system commands from request data.
V1.2.6,2,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application does not use LDAP, XPath, or LaTeX processors."
V1.2.7,2,V1 Encoding and Sanitization,V1.2 Injection Prevention,Verify that the application is protected against XPath injection attacks by using query parameterization or precompiled queries.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application does not use LDAP, XPath, or LaTeX processors."
V1.2.8,2,V1 Encoding and Sanitization,V1.2 Injection Prevention,"Verify that LaTeX processors are configured securely (such as not using the ""--shell-escape"" flag) and an allowlist of commands is used to prevent LaTeX injection attacks.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application does not use LDAP, XPath, or LaTeX processors."
